dataset,NumberOfInstances,LogNumberOfInstances,NumberOfClasses,ClassProbabilityMin,ClassProbabilityMax,ClassProbabilityMean,ClassProbabilitySTD,Kurtosisses,Skewnesses,ClassEntropy,LandmarkLDA,LandmarkNaiveBayes,LandmarkDecisionTree,LandmarkDecisionNodeLearner,LandmarkRandomNodeLearner,Landmark1NN
0,935.0,6.840546529288687,2.0,0.2844919786096257,0.7155080213903743,0.5,0.21550802139037434,-0.8384540244444381,0.7157316559576414,0.5971459363884551,0.6973394308336567,0.7005075447862892,0.604257805894582,0.7155277371609323,0.7155277371609323,0.6052870699173406
1,4357.0,8.379539026117444,2.0,0.4592609593757173,0.5407390406242828,0.5,0.04073904062428276,-1.3384958036189438,-0.105579425201016,0.6898241592403132,0.580692345763381,0.602495594308109,0.6642308577724657,0.6357741264568103,0.6357741264568103,0.6635443733951469
2,769.0,6.645090969505644,6.0,0.045513654096228866,0.4629388816644994,0.16666666666666666,0.16437708940203086,0.2460969807257296,-0.9412014661638901,1.350698461895346,0.7181023593523593,0.7610622373122373,0.6245389970389971,0.7649456399456399,0.7649456399456399,0.6284916997416998
3,1363.0,7.217443431696532,9.0,0.0007336757153338225,0.425531914893617,0.11111111111111112,0.1499780684131287,-0.805674367110087,0.5312487105034774,1.3673794126871597,0.4256794579177545,0.4263937436320403,0.3314735414474469,0.4249651722034689,0.4249651722034689,0.3315700512007308
4,1313.0,7.180069874302796,2.0,0.4196496572734196,0.5803503427265804,0.5,0.08035034272658036,1.0572657139748989,0.13823022724541942,0.6801786669330473,0.5887240220607035,0.581888317253926,0.5422860151767344,0.5788464481815224,0.5788464481815224,0.5468546018063897
5,5273.0,8.570354739530469,2.0,0.18205954864403565,0.8179404513559644,0.5,0.3179404513559643,-0.13925852671482766,0.05700853348927065,0.4745021517008559,0.8173710539934451,0.8179403139554944,0.7155338968431948,0.8179403139554944,0.8179403139554944,0.719139569317463
6,861.0,6.7580945044277305,18.0,0.0011614401858304295,0.16376306620209058,0.05555555555555556,0.05528917509748299,23.220020060253592,4.111091924264536,2.392070452072353,0.2264286092294873,0.17296451300077695,0.2861498573553473,0.22555128985904704,0.22555128985904704,0.18043348817330346
7,525.0,6.2633982625916245,7.0,0.005714285714285714,0.4038095238095238,0.14285714285714285,0.13857902590389698,64.59082576217064,-6.716945842641202,1.4629616892859798,0.4002674378895244,0.4044976222445701,0.2976498510738245,0.4059732978822878,0.4059732978822878,0.2956634033742801
8,869.0,6.767343125265392,2.0,0.4545454545454545,0.5454545454545454,0.5,0.045454545454545456,34.11694351001545,-3.3831133464763146,0.6890092384766586,0.7375826225365121,0.7376090495978227,0.6366722558382543,0.7249638526402761,0.7249638526402761,0.6343466744429055
9,2316.0,7.747596838692885,2.0,0.035405872193436966,0.9645941278065632,0.5,0.4645941278065631,-0.7235501153714008,-0.2885131420319856,0.15305823818892167,0.9645989056082296,0.9645989056082296,0.9645989056082296,0.9645989056082296,0.9645989056082296,0.9330884293793128
